micro_ref,micro_descr
MICMICCTER,Micrococcus terreus
MICMICO," Micobacterias
"
MICMICOABS,Mycobacterium abscessus
MICMICOBAA,Mycobacterium avium-intracellulare
MICMICOBAB,Mycobacterium bovis
MICMICOBAC,Mycobacterium canariasense
MICMICOBAF,Mycobacterium africanum
MICMICOBAG," Mycobacterium mucogenicum
"
MICMICOBAL,Mycobacterium celatum
MICMICOBAM,Mycobacterium malmoense
MICMICOBAN,Mycobacterium peregrinum
MICMICOBAP,Mycobacterium parascrofulaceum
MICMICOBAR,Mycobacterium marinum
MICMICOBAS," Mycobacterium scrofulaceum
"
MICMICOBAV,Mycobacterium avium
MICMICOBAX,Mycobacterium xenopi
MICMICOBBC,Mycobacterium bovis BCG
MICMICOBBR,Mycobacterium brisbanense
MICMICOBCH,Mycobacterium chelonae
MICMICOBFF,Mycobacterium fortuitum
MICMICOBFO,Mycobacterium fortuitum complex
MICMICOBGO,Mycobacterium gordonae
MICMICOBIC,Mycobacterium intracellulare
MICMICOBIT," Mycobacterium interjectum
"
MICMICOBKA,Mycobacterium kansasii
MICMICOBLE,Mycobacterium lentiflavum
MICMICOBPP,Mycobacterium sp
MICMICOBSH,Mycobacterium shimoidei
MICMICOBSM," Mycobacterium smegmatis
"
MICMICOBT,Mycobacterium terrae complex
MICMICOINC,Mycobacterium intracellulare-chimaera
MICMICOTUB,Mycobacterium tuberculosis
MICMICOTUC,Mycobacterium tuberculosis complex
MICMICPOSC,Microsporum canis
MICMICPOSU,Microsporum audouinii
MICMICPOSY,Microsporum gypseum
MICMICROSP,Microbacterium sp
MICMMOR,Morganella morganii
MICMNR," None)
"
MICMORXATL,Moraxella atlantae
MICMORXLAC,Moraxella lacunata
MICMORXMON,Moraxella monliquefaciens
MICMORXOSL,Moraxella osloensis
MICMORXSP,Moraxella sp
MICMUCORAL," Especie del grup fongs mucorals
"
MICMUCORCI,Mucor circinelloides
MICMUCORSP,Mucor sp
MICMUCORVE,Mucor velutinosus
MICMYCCHI,Mycobacterium chimaera
MICMYCCOL," Mycobacterium colombiense
"
MICMYCMA,Mycobacterium mageritense
MICMYCPGEN,Mycoplasma genitalium
MICMYCPHOM,Mycoplasma hominis
MICMYCPSP," Mycoplasma sp
"
MICMYCTRIP," Mycobacterium triplex
"
MICMYROODO,Myroides odoratus
MICMYROODR,Myroides odoratimimus
MICNABS,Nocardia abscessus
MICNCYR,Nocardia cyriacigeorgica
MICNEISBAC,Neisseria bacilliformis
MICNEISELO,Neisseria elongata
MICNEISFLA,Neisseria flavescens
MICNEISMEB,Neisseria meningitidis grupo B
MICNEISMUC,Neisseria mucosa
MICNEISSIC," Neisseria sicca
"
MICNEISSP,Neisseria sp
MICNEISSUF,Neisseria subflava
MICNFAR,Nocardia farcinica
MICNGON,Neisseria gonorrhoeae
MICNLF,Bacil No lactosa fermentador
MICNMEN,Neisseria meningitidis
MICNOCABRA,Nocardia brasilensis
MICNOCANOV,Nocardia nova
MICNOCASP,Nocardia sp
MICNOCDPSP,Nocardiopsis sp
MICNTRA," Nocardia transvalensis
"
MICNV,.
MICOCRBACA,Ochrobactrum anthropi
MICOCRBAIN,Ochrobactrum intermedium
MICODOSPLA,Odoribacter splanchnicus
MICOLIGEUR,Oligella urethralis
MICPAELIL,Paecilomyces lilacinus
MICPAEM,Pseudomonas aeruginosa (mucoide)
MICPAENGLU,Paenibacillus glucanolyticus
MICPAENILL,Paenibacillus illinoisensis
MICPAENLAC,Paenibacillus lactis
MICPAENLAU,Paenibacillus lautus
MICPAENMSO,Paeniclostridium sordelli
MICPAENRES,Paenibacillus residu
MICPAENSP,Paenibacillus sp
MICPAER,Pseudomonas aeruginosa
MICPAESP,Paecilomyces sp
MICPAEVAR,Paecilomyces variotii
MICPAFM,Flora Mixta
MICPANTCAL,Pantoea calida
MICPANTDIS,Pantoea dispersa
MICPANTEUC,Pantoea eucrina
MICPANTOAG,Pantoea aglomerans
MICPANTSEP,Pantoea septica
MICPANTSP,Pantoea sp
MICPARA,Parásitos
MICPARABDI,Parabacteroides distasonis
MICPARACYE,Paracoccus yeei
MICPARVIMI,Parvimonas micra
MICPASTBET,Pasteurella bettyae
MICPASTCAN,Pasteurella canis
MICPASTDAG,Pasteurella dagmatis
MICPASTSP,Pasteurella sp
MICPEDIOSP,Pediococcus sp
MICPENICIC,Penicillium chrysogenum
MICPENICIS,Penicillium sp
MICPEPGOR,Peptoniphilus gorbachii
MICPEPHAR,Peptoniphilus harei
MICPEPINDO,Peptoniphilus indolicus
MICPEPSP,Peptoniphilus sp
MICPEPSTAN,Peptostreptococcus anaerobius
MICPEPSTAS,Peptostreptococcus asaccharolyticus
MICPEPSTIN," Peptostreptococcus indolicus
"
MICPEPSTMA,Peptostreptococcus magnus
MICPEPSTMI,Peptostreptococcus micros
MICPEPSTSP,Peptostreptococcus sp
MICPEPSTTE," Peptostreptococcus tetradius
"
MICPEPTOCO,Peptoniphilus coxii
MICPEPTOSP," Peptococcus sp
"
MICPHOMSP,Phoma sp
MICPHTHPUB,Phthirus pubis
MICPICHIOH,Pichia ohmeri
MICPLASMFA,Plasmodium falciparum
MICPLASMMA,Plasmodium malariae
MICPLASMOV,Plasmodium ovale
MICPLASMSP,Plasmodium sp
MICPLASMVI,Plasmodium vivax
MICPLESISH,Plesiomonas shigelloides
MICPLURGER,Pluralibacter gergoviae
MICPMIR,Proteus mirabilis
MICPMUL,Pasteurella multocida
MICPNCISJI,Pneumocystis jiroveci.
MICPNECISJ," Pneumocystis jiroveci
"
MICPORPHYG,Porphyromonas gingivalis
MICPORSP,Porphyromonas sp
MICPPUT,Pseudomonas putida
MICPRET,Providencia rettgeri
MICPREVOBA,Prevotella baroniae
MICPREVOBI,Prevotella bivia
MICPREVOBU,Prevotella buccae
MICPREVOCO,Prevotella corporis
MICPREVODE,Prevotella denticola
MICPREVODI,Prevotella disiens
MICPREVOHE,Prevotella heparinolytica
MICPREVOIN,Prevotella intermedia
MICPREVOLO,Prevotella loescheii
MICPREVOME,Prevotella melaninogenica
MICPREVONI,Prevotella nigrescens
MICPREVOOR,Prevotella oralis
MICPREVOOS,Prevotella oris
MICPREVOPE," Prevotella penticola
"
MICPREVOSP,Prevotella sp
MICPREVOTI,Prevotella timonensis
MICPREVOVE," Prevotella veroralis
"
MICPROPILY,Propionimicrobium lymphophilum
MICPROTHAU,Proteus hauseri
MICPROTPEN,Proteus penneri
MICPROTSP,Proteus sp
MICPROVRUS,Providencia rustigianii
MICPRPBCAC,Propionibacterium acnes
MICPRPBCAV," Propionibacterium avidum
"
MICPRPBCSP,Propionibacterium sp
MICPSEUAL,Pseudomonas alcaligenes
MICPSEUBOY," Pseudallescheria boydii
"
MICPSEUBRA," Pseudomonas brassicacearum
"
MICPSEUCHL,Pseudomonas chlororaphis
